datetime,open,high,low,close,volume
2020-01-01 05:30:00+05:30,43.5,44.1,43.25,43.5,12283581.0
2020-01-02 05:30:00+05:30,43.75,45.85,43.5,45.4,24677041.0
2020-01-03 05:30:00+05:30,45.4,45.65,44.3,44.6,10859861.0
2020-01-06 05:30:00+05:30,44.25,44.4,42.4,42.65,12626606.0
2020-01-07 05:30:00+05:30,43.1,44.0,42.7,43.4,13321218.0
2020-01-08 05:30:00+05:30,42.5,43.35,42.5,43.2,11199141.0
2020-01-09 05:30:00+05:30,44.0,45.1,43.6,44.9,16119627.0
2020-01-10 05:30:00+05:30,45.1,45.5,44.4,44.75,10521165.0
2020-01-13 05:30:00+05:30,45.0,46.55,44.75,46.05,17317084.0
2020-01-14 05:30:00+05:30,46.4,46.65,45.4,45.95,11899391.0
2020-01-15 05:30:00+05:30,45.85,47.0,45.45,46.85,10739845.0
2020-01-16 05:30:00+05:30,47.45,47.75,46.4,46.55,14205313.0
2020-01-17 05:30:00+05:30,46.6,47.1,46.05,46.2,8424298.0
2020-01-20 05:30:00+05:30,46.3,46.55,44.7,44.95,12234865.0
2020-01-21 05:30:00+05:30,45.0,45.45,43.2,43.4,24323645.0
2020-01-22 05:30:00+05:30,43.65,43.8,43.05,43.45,16583634.0
2020-01-23 05:30:00+05:30,43.45,44.0,43.3,43.45,14871754.0
2020-01-24 05:30:00+05:30,43.5,45.2,43.4,45.0,27348156.0
2020-01-27 05:30:00+05:30,44.7,44.95,43.8,43.95,13164355.0
2020-01-28 05:30:00+05:30,43.95,44.45,43.05,43.3,11310748.0
2020-01-29 05:30:00+05:30,43.7,45.1,43.6,44.55,15586751.0
2020-01-30 05:30:00+05:30,44.65,44.65,43.2,44.05,14992301.0
2020-01-31 05:30:00+05:30,44.45,44.6,42.05,42.75,14087306.0
2020-02-01 05:30:00+05:30,42.7,43.55,39.2,40.05,17232262.0
2020-02-03 05:30:00+05:30,39.9,40.55,38.8,39.45,20417630.0
2020-02-04 05:30:00+05:30,39.8,40.2,39.35,39.95,13225776.0
2020-02-05 05:30:00+05:30,40.0,40.5,39.25,39.6,23954561.0
2020-02-06 05:30:00+05:30,39.95,40.2,39.45,39.55,16156110.0
2020-02-07 05:30:00+05:30,39.75,40.3,39.2,39.8,16682125.0
2020-02-10 05:30:00+05:30,39.75,39.8,37.9,38.25,21400298.0
2020-02-11 05:30:00+05:30,38.6,39.1,38.25,38.55,20338186.0
2020-02-12 05:30:00+05:30,37.8,38.2,35.8,36.35,51223154.0
2020-02-13 05:30:00+05:30,36.85,37.35,36.25,37.05,20159277.0
2020-02-14 05:30:00+05:30,37.2,37.4,36.0,36.2,20464164.0
2020-02-17 05:30:00+05:30,36.2,36.4,34.75,34.85,21604096.0
2020-02-18 05:30:00+05:30,34.3,34.9,33.4,34.7,34528421.0
2020-02-19 05:30:00+05:30,34.7,35.6,34.2,35.4,18802594.0
2020-02-20 05:30:00+05:30,35.4,35.9,34.9,35.1,15578115.0
2020-02-24 05:30:00+05:30,34.3,34.75,33.7,33.9,13344620.0
2020-02-25 05:30:00+05:30,33.75,34.5,33.65,33.9,13587843.0
2020-02-26 05:30:00+05:30,33.6,33.95,33.1,33.25,13462112.0
2020-02-27 05:30:00+05:30,33.25,33.35,32.05,32.6,18665991.0
2020-02-28 05:30:00+05:30,31.7,31.7,30.3,30.6,21837210.0
2020-03-02 05:30:00+05:30,31.1,31.7,29.05,29.55,23026620.0
2020-03-03 05:30:00+05:30,30.0,31.35,29.85,31.0,20595361.0
2020-03-04 05:30:00+05:30,31.1,31.2,29.85,30.65,18105957.0
2020-03-05 05:30:00+05:30,30.9,31.4,29.95,30.7,20609801.0
2020-03-06 05:30:00+05:30,29.7,29.7,28.95,29.55,16052493.0
2020-03-09 05:30:00+05:30,28.8,28.85,27.05,27.2,21890476.0
2020-03-11 05:30:00+05:30,27.45,28.7,27.2,27.55,30448290.0
2020-03-12 05:30:00+05:30,26.0,26.6,24.0,24.15,35583365.0
2020-03-13 05:30:00+05:30,22.2,26.4,18.4,25.95,39258484.0
2020-03-16 05:30:00+05:30,24.35,25.75,23.3,23.7,26302824.0
2020-03-17 05:30:00+05:30,24.05,25.35,23.0,23.2,23765875.0
2020-03-18 05:30:00+05:30,23.55,24.4,22.4,23.35,27069851.0
2020-03-19 05:30:00+05:30,22.45,23.6,21.8,22.5,27938212.0
2020-03-20 05:30:00+05:30,22.95,23.95,22.05,23.45,41569863.0
2020-03-23 05:30:00+05:30,21.5,21.75,20.05,20.15,15468456.0
2020-03-24 05:30:00+05:30,21.0,21.25,19.5,20.0,20665598.0
2020-03-25 05:30:00+05:30,20.0,20.2,19.15,19.85,14159337.0
2020-03-26 05:30:00+05:30,20.05,21.1,19.45,20.6,18656994.0
2020-03-27 05:30:00+05:30,21.4,21.9,20.15,20.35,22366596.0
2020-03-30 05:30:00+05:30,20.25,20.6,19.65,20.2,13042664.0
2020-03-31 05:30:00+05:30,20.7,21.15,20.2,20.8,20144665.0
2020-04-01 05:30:00+05:30,20.65,21.2,20.4,20.7,15999994.0
2020-04-03 05:30:00+05:30,21.15,21.2,20.4,20.65,14724854.0
2020-04-07 05:30:00+05:30,21.05,21.45,20.85,21.3,18390253.0
2020-04-08 05:30:00+05:30,21.2,22.65,20.95,21.25,28424499.0
2020-04-09 05:30:00+05:30,21.65,22.65,21.4,22.35,28488302.0
2020-04-13 05:30:00+05:30,23.15,23.35,21.85,22.0,36362523.0
2020-04-15 05:30:00+05:30,22.35,23.15,21.3,21.45,40178521.0
2020-04-16 05:30:00+05:30,21.45,21.9,21.15,21.7,27540878.0
2020-04-17 05:30:00+05:30,22.6,22.6,21.5,21.85,29750187.0
2020-04-20 05:30:00+05:30,22.0,23.15,21.6,22.55,53220501.0
2020-04-21 05:30:00+05:30,22.25,22.25,21.55,21.7,23711520.0
2020-04-22 05:30:00+05:30,21.6,21.85,20.9,21.35,24357522.0
2020-04-23 05:30:00+05:30,21.6,21.85,21.2,21.4,19336945.0
2020-04-24 05:30:00+05:30,21.1,21.4,20.6,20.65,20109613.0
2020-04-27 05:30:00+05:30,20.95,20.95,20.4,20.65,16354184.0
2020-04-28 05:30:00+05:30,20.75,21.15,20.65,20.95,15589273.0
2020-04-29 05:30:00+05:30,21.0,21.35,20.85,20.95,19732808.0
2020-04-30 05:30:00+05:30,21.3,22.9,21.15,22.45,56261295.0
2020-05-04 05:30:00+05:30,21.7,24.85,20.9,23.5,145551747.0
2020-05-05 05:30:00+05:30,24.65,24.65,22.6,22.9,93124787.0
2020-05-06 05:30:00+05:30,23.05,23.4,22.75,23.0,48712402.0
2020-05-07 05:30:00+05:30,22.9,23.3,22.75,23.05,52088140.0
2020-05-08 05:30:00+05:30,23.35,23.5,21.8,22.2,43617439.0
2020-05-11 05:30:00+05:30,22.55,23.0,22.1,22.55,28661145.0
2020-05-12 05:30:00+05:30,22.4,22.4,21.4,21.5,42068839.0
2020-05-13 05:30:00+05:30,23.1,27.15,22.15,26.6,309686625.0
2020-05-14 05:30:00+05:30,26.9,29.25,25.0,27.45,247691248.0
2020-05-15 05:30:00+05:30,27.5,28.25,27.0,27.3,88425003.0
2020-05-18 05:30:00+05:30,27.7,28.45,25.85,26.05,90741401.0
2020-05-19 05:30:00+05:30,26.4,26.55,25.3,25.4,50209529.0
2020-05-20 05:30:00+05:30,25.1,26.6,25.0,25.95,59559198.0
2020-05-21 05:30:00+05:30,26.0,26.25,25.3,25.55,42189518.0
2020-05-22 05:30:00+05:30,25.4,25.55,24.15,24.55,43983080.0
2020-05-26 05:30:00+05:30,25.0,25.45,24.35,24.85,41219769.0
2020-05-27 05:30:00+05:30,25.25,25.35,24.75,25.2,38448153.0
2020-05-28 05:30:00+05:30,25.4,27.25,25.15,26.85,99120469.0
2020-05-29 05:30:00+05:30,26.8,28.45,26.15,28.0,105111176.0
2020-06-01 05:30:00+05:30,28.4,29.0,27.7,28.0,55554728.0
2020-06-02 05:30:00+05:30,28.2,28.55,27.45,28.0,40757502.0
2020-06-03 05:30:00+05:30,28.2,28.75,27.4,27.7,48884155.0
2020-06-04 05:30:00+05:30,27.9,28.05,26.4,26.8,48000888.0
2020-06-05 05:30:00+05:30,27.0,27.95,26.9,27.75,50341575.0
2020-06-08 05:30:00+05:30,28.55,28.75,27.55,27.95,51859963.0
2020-06-09 05:30:00+05:30,28.25,31.45,27.8,30.65,158365008.0
2020-06-10 05:30:00+05:30,31.5,32.4,30.55,31.3,136065989.0
2020-06-11 05:30:00+05:30,30.8,32.3,29.75,30.0,79480320.0
2020-06-12 05:30:00+05:30,28.4,31.8,28.25,31.4,73184782.0
2020-06-15 05:30:00+05:30,29.25,30.6,28.5,29.1,103035431.0
