datetime,open,high,low,close,volume
2020-01-01 05:30:00+05:30,337.8,339.35,334.4,334.81,7375280.0
2020-01-02 05:30:00+05:30,336.0,336.7,332.93,334.31,9260445.0
2020-01-03 05:30:00+05:30,334.19,334.6,329.11,331.42,7970445.0
2020-01-06 05:30:00+05:30,331.42,331.49,327.72,330.51,7400435.0
2020-01-07 05:30:00+05:30,332.21,334.95,330.08,334.17,12489655.0
2020-01-08 05:30:00+05:30,330.94,332.29,327.6,330.97,15629655.0
2020-01-09 05:30:00+05:30,334.7,334.75,331.74,333.01,13342120.0
2020-01-10 05:30:00+05:30,334.82,338.4,334.24,336.94,12680415.0
2020-01-13 05:30:00+05:30,338.4,340.9,337.11,338.22,9039790.0
2020-01-14 05:30:00+05:30,339.2,339.22,334.2,335.36,10684460.0
2020-01-15 05:30:00+05:30,335.19,337.32,333.18,335.12,12451225.0
2020-01-16 05:30:00+05:30,335.78,341.12,335.78,340.31,16606410.0
2020-01-17 05:30:00+05:30,340.78,341.17,338.02,339.62,11479375.0
2020-01-20 05:30:00+05:30,341.8,341.8,322.2,323.58,40020170.0
2020-01-21 05:30:00+05:30,321.0,326.12,317.04,325.02,28727345.0
2020-01-22 05:30:00+05:30,326.64,327.58,315.2,317.1,27395810.0
2020-01-23 05:30:00+05:30,317.6,321.68,316.26,321.17,17478415.0
2020-01-24 05:30:00+05:30,321.09,329.8,317.4,328.59,21264685.0
2020-01-27 05:30:00+05:30,325.74,325.8,321.68,323.67,9372145.0
2020-01-28 05:30:00+05:30,324.0,327.6,322.05,325.21,9905520.0
2020-01-29 05:30:00+05:30,326.6,329.24,324.61,328.09,11137465.0
2020-01-30 05:30:00+05:30,327.56,328.06,323.5,325.65,7950780.0
2020-01-31 05:30:00+05:30,341.93,345.8,336.63,338.35,47475230.0
2020-02-01 05:30:00+05:30,336.8,337.89,326.01,329.59,11316570.0
2020-02-03 05:30:00+05:30,329.12,336.16,326.8,335.25,12551470.0
2020-02-04 05:30:00+05:30,336.81,340.56,334.03,339.66,10352085.0
2020-02-05 05:30:00+05:30,340.4,341.49,335.42,337.95,10482560.0
2020-02-06 05:30:00+05:30,338.78,339.58,333.6,334.8,12663090.0
2020-02-07 05:30:00+05:30,335.15,335.59,328.8,330.61,11450755.0
2020-02-10 05:30:00+05:30,332.0,334.92,329.14,333.86,6775620.0
2020-02-11 05:30:00+05:30,336.49,337.16,333.31,335.49,9573830.0
2020-02-12 05:30:00+05:30,336.02,344.0,335.0,342.98,15052685.0
2020-02-13 05:30:00+05:30,342.94,342.94,336.46,337.96,11234600.0
2020-02-14 05:30:00+05:30,339.2,340.6,332.72,336.19,9460785.0
2020-02-17 05:30:00+05:30,337.0,339.84,334.45,338.22,9063825.0
2020-02-18 05:30:00+05:30,336.5,339.96,335.66,338.2,11095195.0
2020-02-19 05:30:00+05:30,348.0,348.0,339.08,340.22,15842670.0
2020-02-20 05:30:00+05:30,339.46,339.85,335.24,337.19,10499515.0
2020-02-24 05:30:00+05:30,334.4,336.75,332.46,335.65,9630665.0
