strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
FixedRR_1to3,BFO:SENSEX27JUN2583200CE,CE,83200.0,BUY,2026-06-21T15:36:09.466809,2026-06-21T15:36:09.470712,380.64,723.2159999999999,3,1027.7279999999996,INTRABAR_TARGET
FixedRR_1to3,BFO:SENSEX27JUN2583100CE,CE,83100.0,BUY,2026-06-21T15:36:09.470823,2026-06-21T15:36:09.474702,413.11,784.909,3,1115.397,INTRABAR_TARGET
