strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
FixedRR_1to3,BFO:SENSEX27JUN2582700CE,CE,82700.0,BUY,2026-06-20T23:41:11.670822,2026-06-20T23:41:11.674063,470.96,894.824,2,847.728,INTRABAR_TARGET
FixedRR_1to3,BFO:SENSEX27JUN2582700CE,CE,82700.0,BUY,2026-06-20T23:41:11.674158,2026-06-20T23:41:11.677386,470.38,893.722,2,846.684,INTRABAR_TARGET
