strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
CurvatureCreditSpread,NFO:BANKNIFTY02JUL2557500CE,CE,57500.0,BUY,2026-06-20T23:35:42.979119,2026-06-20T23:35:42.982427,356.34,18.819000000000006,15,-5062.815,INTRABAR_TARGET
CurvatureCreditSpread,NFO:BANKNIFTY02JUL2557300CE,CE,57300.0,SELL,2026-06-20T23:35:42.979098,2026-06-20T23:35:43.030660,419.07,400.59,15,277.2000000000003,EMERGENCY_SQUARE_OFF
CurvatureCreditSpread,NFO:BANKNIFTY09JUL2557300CE,CE,57300.0,BUY,2026-06-20T23:35:50.432333,2026-06-20T23:35:50.435787,284.46,18.956999999999997,15,-3982.5449999999996,INTRABAR_TARGET
